Date,Open,High,Low,Close,Adj Close,Volume
2021-01-22,89000.000000,89700.000000,86800.000000,86800.000000,86035.085938,30861661
2021-01-25,87000.000000,89900.000000,86300.000000,89400.000000,88612.171875,27258534
2021-01-26,88800.000000,89200.000000,86500.000000,86700.000000,85935.968750,33178936
2021-01-27,86600.000000,87700.000000,85600.000000,85600.000000,84845.656250,26423070
2021-01-28,83200.000000,85600.000000,83200.000000,83700.000000,82962.406250,31859808
2021-01-29,84500.000000,85000.000000,82000.000000,82000.000000,81277.382813,39615978
2021-02-01,81700.000000,83400.000000,81000.000000,83000.000000,82268.570313,28046832
2021-02-02,84100.000000,86400.000000,83700.000000,84400.000000,83656.234375,26302077
2021-02-03,84800.000000,85400.000000,83400.000000,84600.000000,83854.476563,22112205
2021-02-04,83500.000000,83800.000000,82100.000000,82500.000000,81772.976563,24171688
2021-02-05,83100.000000,84000.000000,82500.000000,83500.000000,82764.164063,18036835
2021-02-08,83800.000000,84200.000000,83000.000000,83000.000000,82268.570313,15338765
2021-02-09,84000.000000,84800.000000,82700.000000,82700.000000,81971.218750,20898332
2021-02-10,82600.000000,82600.000000,81600.000000,81600.000000,80880.914063,23025766
2021-02-15,83800.000000,84500.000000,83300.000000,84200.000000,83458.000000,23529706
2021-02-16,84500.000000,86000.000000,84200.000000,84900.000000,84151.828125,20483100
2021-02-17,83900.000000,84200.000000,83000.000000,83200.000000,82466.804688,18307735
2021-02-18,83200.000000,83600.000000,82100.000000,82100.000000,81376.507813,21327683
2021-02-19,82300.000000,82800.000000,81000.000000,82600.000000,81872.101563,25880879
2021-02-22,83800.000000,84200.000000,82200.000000,82200.000000,81475.625000,25419886
2021-02-23,81200.000000,82900.000000,81100.000000,82000.000000,81277.382813,20587314
2021-02-24,81800.000000,83600.000000,81300.000000,82000.000000,81277.382813,26807651
2021-02-25,84000.000000,85400.000000,83000.000000,85300.000000,84548.312500,34155986
2021-02-26,82800.000000,83400.000000,82000.000000,82500.000000,81772.976563,38520800
2021-03-02,85100.000000,85300.000000,83000.000000,83600.000000,82863.289063,33498180
2021-03-03,83500.000000,84000.000000,82800.000000,84000.000000,83259.757813,19882132
2021-03-04,82600.000000,83200.000000,82200.000000,82400.000000,81673.859375,24348331
2021-03-05,81100.000000,82600.000000,81100.000000,82100.000000,81376.507813,20508971
2021-03-08,82900.000000,83000.000000,81600.000000,82000.000000,81277.382813,17641256
